index,index2,index3,Country,Code,Year,CO2,HDI,relative,perCapita,pre_HDI,pre_CO2,pre_perCapita
84,84,113,Australia,AUS,1985,240998346,0.59,40006.49862871445,15.3858,0.57,220537329,15.1173
85,85,2487,United States,USA,1980,4808295761,0.59,2320.0690915411583,20.9533,0.57,4478038483,20.4401
86,86,2488,United States,USA,1985,4652382863,0.62,2241.5963843331606,19.3446,0.59,4808295761,20.9533
87,87,114,Australia,AUS,1990,279364842,0.62,46391.3798727234,16.4714,0.59,240998346,15.3858
88,88,2156,South Korea,KOR,2000,440530735,0.63,6735.510380716795,9.298,0.56,383696012,8.4715
89,89,2489,United States,USA,1990,5113454675,0.64,2473.65898960227,20.2818,0.62,4652382863,19.3446
90,90,2099,Singapore,SGP,2005,36467792,0.65,1805.3859802751613,8.5491,0.56,48394112,12.0118
91,91,2100,Singapore,SGP,2007,47518416,0.67,2382.764068942888,10.3783,0.65,36467792,8.5491
92,92,2101,Singapore,SGP,2010,56619792,0.69,2858.2969509888544,11.0345,0.67,47518416,10.3783
93,93,2490,United States,USA,1995,5421502465,0.69,2628.7028912988494,20.4459,0.64,5113454675,20.2818
94,94,2157,South Korea,KOR,2005,499564402,0.72,7651.508315776374,10.2578,0.63,440530735,9.298
95,95,2491,United States,USA,2000,6010508353,0.72,2925.156149404607,21.3357,0.69,5421502465,20.4459
96,96,2492,United States,USA,2005,6134521473,0.74,2987.5733411863303,20.7954,0.72,6010508353,21.3357
97,97,2493,United States,USA,2007,6131004158,0.75,2985.803037165984,20.3953,0.74,6134521473,20.7954
98,98,115,Australia,AUS,1995,308022587,0.77,51160.54874720418,17.1189,0.62,279364842,16.4714
99,99,2494,United States,USA,2010,5675786435,0.77,2756.6868604345987,18.3676,0.75,6131004158,20.3953
100,100,2158,South Korea,KOR,2007,522906312,0.77,8013.693869324091,10.664,0.72,499564402,10.2578
101,101,2495,United States,USA,2015,5371770557,0.78,2603.6722651900386,16.7408,0.77,5675786435,18.3676
102,102,2159,South Korea,KOR,2010,595589920,0.81,9141.491585848797,12.021,0.77,522906312,10.664
103,103,116,Australia,AUS,2000,351819599,0.81,58449.16641149217,18.5252,0.77,308022587,17.1189
104,104,2102,Singapore,SGP,2015,62130448,0.82,3146.220241889472,11.1103,0.69,56619792,11.0345
105,105,117,Australia,AUS,2005,387601592,0.84,64403.93945042071,19.2086,0.81,351819599,18.5252
106,106,118,Australia,AUS,2007,401925539,0.85,66787.7041950687,19.2159,0.84,387601592,19.2086
107,107,2160,South Korea,KOR,2015,635213614,0.85,9756.314003765552,12.4985,0.81,595589920,12.021
108,108,119,Australia,AUS,2010,404533220,0.87,67221.66964000426,18.2595,0.85,401925539,19.2159
109,109,120,Australia,AUS,2015,403279411,0.89,67013.01306715305,16.8507,0.87,404533220,18.2595
